ID,Name,Date_of_birth,Age,Gender,Race,Location,country,edu,No_Connection,Year_of_Exp,No_of_Job_changed,No_of_titles,Current_Title,Title_Level,Previous_Title1,Title_Level1,Previous_Title2,Title_Level2,Previous_Title3,Title_Level3,Previous_Title4,Title_Level4,Previous_Title5,Title_Level5,Current_Salary,Fortune500,SuccessScore
23,Carlos Grimes,12/6/56,60,Female,African American,AL,USA,Graduate,361,36,9,4,Director of Software Development,5,Senior PM,4,Product Management Intern,1,Summer Intern,1,NA,NA,NA,NA,291153,1,3444.553817
24,Markita Bruen,4/11/58,59,Male,Hispanic,AL,USA,Undergraduate,461,37,10,5,Senior Systems Analyst,4,Senior devops,4,Devops team lead,3,Product Development Business Analyst,3,"Lead DevOps Engineer, Team Lead",3,NA,NA,197920,1,3502.936085
25,Titus Farrell,3/17/80,37,Male,Asian,NM,USA,Doctorate,307,4,1,3,Senior UX Designer,4,Senior Graphic Designer,4,Information Systems Intern,1,NA,NA,NA,NA,NA,NA,196850,1,5585.762946
26,Tanner Towne,9/18/69,48,Male,Asian,CT,USA,Doctorate,358,15,1,3,Senior systems engineer,4,Senior UNIX administrator,4,Software Engineering Intern,1,NA,NA,NA,NA,NA,NA,184385,1,4305.692271
27,Chantal Blick,8/8/71,46,Female,Caucasian,CO,USA,Associate,460,26,4,5,data analyst,3,Business systems analyst,3,Business systems analyst,3,Analyst (Technology),3,Programmer Analyst,3,NA,NA,195061,0,4492.896283
28,Regenia Wolf,2/1/91,26,Male,Caucasian,MO,USA,Undergraduate,362,4,1,3,Senior Software Egnineer,4,System Analyst III,3,Developer / System Analyst,3,NA,NA,NA,NA,NA,NA,200704,1,7948.970346
29,Klara Will,1/29/77,40,Female,Asian,IA,USA,Undergraduate,408,18,1,3,Senior Android Developer,4,Senior Java Developer,4,Database Analyst,3,NA,NA,NA,NA,NA,NA,188591,0,5166.830725
30,Jared Abshire,3/4/57,60,Male,Native American,WY,USA,Undergraduate,397,38,9,5,Senior software engineer,4,Senior Systems Analyst,4,Development Team Lead,3,Database Analyst,3,Operations Analyst,3,NA,NA,201744,1,3444.553817
31,Rubin Schmitt,7/17/81,36,Female,African American,NJ,USA,Associate,450,16,3,5,senior solution architect,4,Senior Security Researcher,4,Software Engineer / Team Lead,3,Analyst (Technology),3,Team Lead,3,NA,NA,498872,1,5740.923028
32,Millard Toy,5/16/86,31,Male,Hispanic,TN,USA,Associate,409,11,2,3,Software Business Operations Analyst,3,information technology analyst,3,information technology analyst,3,NA,NA,NA,NA,NA,NA,181194,1,6666.878355
33,Charmain Kemmer,9/9/79,38,Male,Native American,MO,USA,Graduate,423,14,5,4,Senior Consultant,4,Senior Android Developer,4,Software Engineer Intern,1,Data Science Intern,1,NA,NA,NA,NA,198189,1,5438.769184
34,Shayla Lesch,6/28/62,55,Male,Hispanic,CO,USA,Doctorate,375,22,1,6,Director of Engineering,5,Director of Software Development,5,Software Engineering Intern,1,Web Development Intern,1,Student Intern Co-op,1,Student Worker,1,186830,1,3757.695073
35,Gertrude Mitchell,11/26/76,40,Female,Caucasian,RI,USA,Associate,376,20,1,3,Devops team lead,3,Research assistant,2,Web analyst,3,NA,NA,NA,NA,NA,NA,182892,1,5166.830725
36,Edgardo Beahan,1/31/54,63,Male,Native American,NH,USA,Associate,369,43,2,5,Senior Software Egnineer,4,Senior full stack developer,4,Security Analyst,3,information technology analyst,3,Devops team lead,3,NA,NA,205205,1,3280.527444
37,Wallace Jacobi,4/5/71,46,Female,Asian,MN,USA,Undergraduate,406,24,1,6,Senior Software Egnineer,4,Senior Designer,4,Business systems analyst,3,Analyst programmer iii,3,System Analyst III,3,Second Line Support Analyst,3,208915,1,4492.896283
38,Jenine Wilderman,12/29/72,44,Male,Caucasian,NC,USA,Graduate,387,20,1,3,Senior Solutions Engineer,4,data analyst,3,Information Systems Intern,1,NA,NA,NA,NA,NA,NA,206020,1,4697.118841
39,Delia Olson,7/11/75,42,Male,Hispanic,LA,USA,Doctorate,428,9,1,4,Senior Full Stack Engineer,4,Senior Business Analyst,4,Data Science Intern,1,Software Engineer Intern,1,NA,NA,NA,NA,194470,0,4920.791167
40,Lashawnda Hane,8/6/77,40,Female,Caucasian,WA,USA,Graduate,483,16,3,5,Senior Data Analyst,4,Senior Gentoo Installation Specialist,4,Software Engineering Intern,1,R&D Intern,1,Web Development Intern,1,NA,NA,321238,1,5166.830725
41,Jeramy Barrows,4/19/73,44,Female,Hispanic,CA,USA,Associate,421,24,1,4,"Sr. Manager, Application Security",4,Senior QA Engineer,4,Application Development Analyst,3,Data Analyst,3,NA,NA,NA,NA,230475,0,4697.118841
42,Brock Lubowitz,1/26/88,29,Male,African American,WV,USA,Graduate,368,5,3,2,Senior Web Developer,4,Senior Consulting Associate,4,NA,NA,NA,NA,NA,NA,NA,NA,116155,1,7126.663069
43,Patria Nolan,12/13/62,54,Female,Native American,AL,USA,Undergraduate,459,32,12,6,Senior Application Developer,4,Senior Software QA Engineer,4,Security Analyst,3,Junior Developer,3,Devops team lead,3,Analyst,3,191196,0,3827.282019
44,Todd Lubowitz,6/19/83,34,Female,Caucasian,MI,USA,Associate,337,14,1,3,Senior Applications Engineer,4,Programmer Analyst I,3,Business Analyst,3,NA,NA,NA,NA,NA,NA,200529,0,6078.624382
45,Cole McKenzie,11/28/68,48,Female,Caucasian,ID,USA,Doctorate,460,15,2,4,Sr Technology consultant,4,Data Analyst,3,Software Engineer Intern,1,Student Intern Co-op,1,NA,NA,NA,NA,264566,1,4305.692271
46,Jeffrey Rippin,10/30/82,35,Female,Caucasian,NY,USA,Undergraduate,338,13,2,5,Senior Mechanical Engineer,4,Senior Sales Consultant,4,Programmer Analyst III,3,data mining analyst,3,Operations Analyst,3,NA,NA,218407,1,5904.9494
47,Phylis Trantow,2/13/92,25,Female,Caucasian,WV,USA,Associate,464,5,3,1,Data Analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124875,1,8266.92916
48,Maryjo Hartmann,4/10/56,61,Male,African American,CT,USA,Undergraduate,362,39,9,5,Director of Growth Marketing,5,Second Line Support Analyst,3,IT Analyst,3,Dev Team leader,3,System Analyst III,3,NA,NA,180987,0,3388.085721
49,Guy Hauck,10/3/68,49,Male,Caucasian,VA,USA,Doctorate,398,16,2,5,Senior IT Analyst,4,Senior Associate,4,Student Intern Co-op,1,Summer Intern,1,Student Intern Co-op,1,NA,NA,195661,1,4217.821
50,Lanora Beier,1/30/88,29,Female,Caucasian,AZ,USA,Associate,441,9,3,3,Data Analyst,3,Product Development Business Analyst,3,Application Analyst,3,NA,NA,NA,NA,NA,NA,197018,0,7126.663069
51,Porsche Fritsch,5/24/77,40,Male,Asian,MI,USA,Graduate,416,16,1,4,Senior QA Engineer,4,Sr. Software Developer,4,Software Engineering Intern,1,Product Management Intern,1,NA,NA,NA,NA,207948,0,5166.830725
52,Cherise Aimonetti,11/15/59,57,Female,Asian,GA,USA,Associate,331,37,9,6,Senior Systems Analyst,4,Senior Team Lead,4,Development Team Lead,3,System Analyst,3,UI team lead,3,data analyst,3,519396,1,3625.846123
53,Clarence Morissette,11/2/77,40,Female,African American,MN,USA,Graduate,384,16,4,3,"Product Specialist, Sr",4,Application Analyst,3,Student Worker,1,NA,NA,NA,NA,NA,NA,193966,0,5166.830725
54,Romaine Marvin,6/4/80,37,Female,Hispanic,MS,USA,Undergraduate,306,15,5,4,Senior Bioinformatician,4,Technical Lead/Senior Dev,4,information technology analyst,3,Programmer Analyst III,3,NA,NA,NA,NA,184322,0,5585.762946
55,Gus Farrell,8/13/72,45,Female,Caucasian,AL,USA,Associate,390,25,1,6,Senior Bioinformatician,4,Development Team Lead,3,Business Analyst,3,Analyst,3,Junior Developer,3,Junior Developer,3,103501,1,4592.738422
56,Mercy Monahan,12/31/84,32,Male,Asian,NE,USA,Undergraduate,392,10,1,3,Senior System Engineer,4,Sr Quality Engineer,4,Data Analyst,3,NA,NA,NA,NA,NA,NA,190864,1,6458.538406
57,Irwin Pfannerstill,3/2/55,62,Female,Asian,NY,USA,Graduate,473,38,1,5,Sr. Director of Program Management,5,Sr. Engineering Manager,4,Business Analytics Intern,1,Research Intern,1,Business Analytics Intern,1,NA,NA,219946,0,3333.439177
58,Lino Leuschke,1/3/79,38,Male,Native American,NM,USA,Graduate,453,14,1,5,Director of IT,5,Sr Technology consultant,4,Research Intern,1,Product Management Intern,1,Product Management Intern,1,NA,NA,195886,0,5438.769184
59,Roselle Howe,11/21/72,44,Female,Hispanic,SC,USA,Doctorate,385,11,1,3,Creative Director + Designer/Developer,5,Senior Software Development Engineer,4,Intern,1,NA,NA,NA,NA,NA,NA,182946,1,4697.118841
60,Nena Mills,6/4/93,24,Female,Caucasian,SD,USA,Undergraduate,332,2,1,5,Director of Technology,5,HR Analyst,3,IT Analyst,3,Programmer Analyst I,3,data mining analyst,3,NA,NA,195845,1,8611.384542
61,Sophia Connelly,8/9/59,58,Male,Native American,WA,USA,Associate,378,38,8,6,Sr. Frontend Eng,4,Team Lead,3,Developer Analyst,3,Database Analyst,3,Devops team lead,3,Team Lead,3,244071,0,3563.331534
62,Ty Botsford,11/25/88,28,Female,Asian,AR,USA,Undergraduate,315,6,2,1,Sr Web Developer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190505,1,7381.18675
63,Ailene Satterfield,9/11/68,49,Female,Hispanic,OR,USA,Undergraduate,391,27,3,5,Senior Member of Technical Staff,4,Senior developer,4,Web analyst,3,Development Team Lead,3,Programmer Analyst III,3,NA,NA,283282,0,4217.821
64,Tyree West,8/22/86,31,Male,Caucasian,MI,USA,Undergraduate,368,9,1,5,Co-Founder,6,Sr. Security Engineer,4,System Analyst,3,Programmer Analyst I,3,Analyst,3,NA,NA,209957,0,6666.878355
65,Debbra Herzog,12/7/70,46,Female,Asian,MI,USA,Undergraduate,328,24,1,4,Sr. Software Engineer,4,senior software engineer,4,Programmer Analyst III,3,Programmer/Analyst,3,NA,NA,NA,NA,194022,1,4492.896283
66,Porsche Ondricka,10/3/54,63,Male,Hispanic,IL,USA,Doctorate,308,30,1,5,Sr. Ops Analyst,4,Sr software architect,4,Student Worker,1,Student Intern Co-op,1,Research Intern,1,NA,NA,208505,0,3280.527444
67,Moon Connelly,5/18/92,25,Male,African American,MI,USA,Graduate,488,1,1,1,Senior (Web)Application Developer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194727,0,8266.92916
68,Kathe Romaguera,9/7/57,60,Male,Caucasian,UT,USA,Associate,457,40,9,4,Dev Team leader,3,System Analyst III,3,UI team lead,3,Programmer Analyst I,3,NA,NA,NA,NA,108522,1,3444.553817
69,Bryon Kulas,1/13/53,64,Male,African American,KY,USA,Doctorate,347,31,4,5,Senior software engineer,4,Senior developer,4,Software Engineering Intern,1,Software Engineer Intern,1,Intern,1,NA,NA,181592,0,3229.269203
70,Perry Feil,8/11/72,45,Male,African American,MA,USA,Graduate,490,21,1,6,"Senior Manager, Delivery",4,Sr Web Developer,4,Summer Intern,1,Software Engineering Intern,1,Product Management Intern,1,Research Intern,1,226598,0,4592.738422
71,Brent Senger,9/11/74,43,Female,Asian,AL,USA,Associate,313,23,1,4,"Product Specialist, Sr",4,Senior developer,4,Dev Team leader,3,Operations Analyst,3,NA,NA,NA,NA,104652,1,4806.354163
72,Luciano Bergnaum,2/23/82,35,Male,Asian,CA,USA,Associate,440,15,1,4,Sr. Engineering Manager,4,Senior IT Analyst,4,Team Lead,3,Advisory Engineer,3,NA,NA,NA,NA,241790,0,5904.9494
73,Sherri Hudson,2/27/63,54,Female,African American,AL,USA,Undergraduate,492,32,4,6,Senior Project Manager,4,Sr. Support Engineer,4,Analyst programmer iii,3,Programmer Analyst III,3,Programmer Analyst I,3,Programmer Analyst III,3,193687,0,3827.282019
74,Monte Stracke,4/13/61,56,Female,Caucasian,CT,USA,Associate,303,36,6,4,Sr software architect,4,Sr. Ops Analyst,4,Data Analyst,3,Product Analyst,3,NA,NA,NA,NA,189526,0,3690.593375
75,Linwood Pfeffer,7/5/70,47,Male,Hispanic,ND,USA,Undergraduate,448,25,1,5,Senior Applications Engineer,4,Senior Python Developer,4,Junior Developer,3,Application Development Analyst,3,Developer Analyst,3,NA,NA,257354,0,4397.302745
76,Alica Rogahn,9/15/81,36,Male,Caucasian,FL,USA,Graduate,435,12,1,5,Senior Consultant,4,Data analyst,3,Intern,1,Product Management Intern,1,Data Science Intern,1,NA,NA,293457,0,5740.923028
77,Dessie Kub,2/23/65,52,Male,Caucasian,WV,USA,Associate,306,32,12,4,Development Team Lead,3,Programmer Analyst I,3,Analyst (Technology),3,UI team lead,3,NA,NA,NA,NA,183386,0,3974.485173
78,Tana Kuhn,1/23/77,40,Female,African American,AZ,USA,Associate,350,20,1,4,System Analyst,3,Advisory Engineer,3,Analyst programmer iii,3,Software Business Operations Analyst,3,NA,NA,NA,NA,183237,1,5166.830725
79,Lee Graham,7/6/82,35,Male,Caucasian,MT,USA,Associate,326,15,5,5,Developer Analyst,3,Dev Team leader,3,Business systems analyst,3,Analyst (Technology),3,Junior Developer,3,NA,NA,198153,1,5904.9494
80,Arlean Deckow,1/7/91,26,Female,Native American,CA,USA,Graduate,317,2,1,5,Senior Designer,4,Research Intern,1,Student Intern Co-op,1,R&D Intern,1,Developer Intern,1,NA,NA,203894,1,7948.970346
81,Silvana Durgan,11/14/77,39,Female,Hispanic,WY,USA,Associate,431,19,1,4,Sr Software Developer,4,Dev Team leader,3,Analyst programmer iii,3,Second Line Support Analyst,3,NA,NA,NA,NA,200166,0,5299.313564
82,Jolyn Pouros,1/1/82,35,Male,Asian,DC,USA,Doctorate,413,2,1,3,Senior Manager IT,4,Information Systems Intern,1,Research Intern,1,NA,NA,NA,NA,NA,NA,270848,0,5904.9494
83,Rubye Kuhic,8/17/63,54,Male,African American,AZ,USA,Associate,325,34,9,4,Sr Technology consultant,4,Senior full stack developer,4,Development Team Lead,3,Data analyst,3,NA,NA,NA,NA,184403,0,3827.282019
84,Travis Kihn,9/27/62,55,Female,Native American,WI,USA,Undergraduate,497,33,8,5,Director of Technology,5,Dev Team leader,3,IT Analyst I,3,Operations Analyst,3,Developer Analyst,3,NA,NA,197760,0,3757.695073
85,Isaac Olson,9/24/71,46,Female,Caucasian,AL,USA,Doctorate,480,13,1,5,Engineering Director,5,information technology analyst,3,Product Management Intern,1,Data Science Intern,1,Research Intern,1,NA,NA,206214,0,4492.896283
86,Armanda Grimes,3/2/55,62,Male,African American,MT,USA,Graduate,330,38,6,4,Sr. Security Engineer,4,Senior Business Analyst,4,Web Development Intern,1,Information Systems Intern,1,NA,NA,NA,NA,201917,0,3333.439177
87,Sharda Mayer,12/10/76,40,Male,Native American,AZ,USA,Undergraduate,315,18,1,4,Sr MySQL DBA,4,Senior Technical Project Manager,4,Analyst programmer iii,3,System Analyst,3,NA,NA,NA,NA,301090,1,5166.830725
88,Jamel Hahn,5/22/62,55,Male,Caucasian,ND,USA,Doctorate,372,22,1,6,Senior UX Designer,4,Senior Interactive Developer,4,Developer Intern,1,Web Development Intern,1,Business Analytics Intern,1,Web Development Intern,1,209749,1,3757.695073
89,Malcom Jenkins,6/27/91,26,Male,Asian,VT,USA,Associate,497,6,1,1,Advisory Engineer,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107947,0,7948.970346
90,Lloyd Schuppe,12/24/58,58,Male,Hispanic,MI,USA,Undergraduate,347,36,3,5,Senior Programmer,4,sr engagement associate,4,Software Business Operations Analyst,3,Dev Team leader,3,Dev Team leader,3,NA,NA,182837,0,3563.331534
91,Aaron Deckow,9/21/55,62,Female,Asian,RI,USA,Associate,367,42,2,6,Network Field Engineer Sr.,4,Product Analyst,3,Software Business Operations Analyst,3,Database Analyst,3,Data Analyst,3,"Lead DevOps Engineer, Team Lead",3,207682,1,3333.439177
92,Duane Schumm,3/16/68,49,Female,Asian,MS,USA,Graduate,376,25,1,4,Technical Lead/Senior Dev,4,Senior Application Developer,4,Intern,1,Software Engineer Intern,1,NA,NA,NA,NA,203070,1,4217.821
93,Lan Fisher,7/30/89,28,Male,Asian,IN,USA,Undergraduate,344,6,3,2,Senior Manager IT,4,Team Lead,3,NA,NA,NA,NA,NA,NA,NA,NA,196671,1,7381.18675
94,Marc Kunde,8/24/86,31,Male,Native American,NM,USA,Graduate,499,7,1,3,Software analyst,3,Software Business Operations Analyst,3,Product Management Intern,1,NA,NA,NA,NA,NA,NA,190137,1,6666.878355
95,Otelia Price,10/10/53,64,Male,African American,NY,USA,Undergraduate,306,42,8,4,Senior Consultant,4,Senior DevOps,4,System Analyst III,3,Analyst (Technology),3,NA,NA,NA,NA,540339,0,3229.269203
97,Kum Hilpert,7/11/88,29,Female,Caucasian,RI,USA,Graduate,387,5,3,2,Senior Gentoo Installation Specialist,4,Senior Associate,4,NA,NA,NA,NA,NA,NA,NA,NA,393241,0,7126.663069
98,Jaime Klocko,9/3/85,32,Female,Asian,GA,USA,Graduate,419,8,3,3,Co-Founder,6,Intern,1,Student Worker,1,NA,NA,NA,NA,NA,NA,62343,0,6458.538406
99,Lieselotte Durgan,4/27/58,59,Male,Caucasian,DE,USA,Graduate,316,35,4,4,Senior Applications Developer,4,Senior Applications Engineer,4,Intern,1,Internal Help Desk,1,NA,NA,NA,NA,200412,1,3502.936085
100,Virgie Legros,11/2/68,49,Male,Native American,NH,USA,Doctorate,425,16,2,4,Senior Mobile Developer,4,Sr Web Developer,4,Product Management Intern,1,Internal Help Desk,1,NA,NA,NA,NA,188883,0,4217.821
101,Lawanda Cremin,11/27/58,58,Male,Hispanic,OR,USA,Associate,421,38,9,6,Senior System Administrator,4,Senior Graphic Designer,4,Junior Developer,3,Junior Developer,3,Database Analyst,3,Developer / System Analyst,3,207162,0,3563.331534
102,Glinda Braun,11/12/53,63,Male,Hispanic,WI,USA,Doctorate,333,30,2,4,Senior Analyst,4,Senior IOS Engineer,4,R&D Intern,1,Software Engineering Intern,1,NA,NA,NA,NA,201363,0,3280.527444
103,Myrl D'Amore,5/19/68,49,Male,Hispanic,MN,USA,Graduate,477,25,1,5,Senior QA Engineer,4,Sr Consultant (software  engineer),4,Business Analytics Intern,1,Information Systems Intern,1,Developer Intern,1,NA,NA,180376,0,4217.821
104,Demarcus Davis,12/16/53,63,Male,Asian,LA,USA,Graduate,396,39,6,6,Senior Analyst,4,Senior Application Developer,4,Business Analytics Intern,1,Student Worker,1,Developer Intern,1,Student Intern Co-op,1,184253,0,3280.527444
105,Jacob Jaskolski,12/20/76,40,Female,Hispanic,MT,USA,Undergraduate,492,18,4,3,"Product Specialist, Sr",4,Sr. Engineering Manager,4,Junior Developer,3,NA,NA,NA,NA,NA,NA,203790,1,5166.830725
106,Sherie Gerhold,5/22/70,47,Female,African American,ID,USA,Associate,357,27,7,5,Sr. Staff Engineer,4,Senior full stack developer,4,Development Team Lead,3,Data Analyst,3,Software Business Operations Analyst,3,NA,NA,114527,1,4397.302745
107,Erika Bins,12/24/90,26,Female,Native American,NJ,USA,Graduate,404,2,1,3,Senior DevOps,4,Intern,1,Research Intern,1,NA,NA,NA,NA,NA,NA,200805,1,7948.970346
108,Verline Abernathy,4/11/74,43,Female,Hispanic,OK,USA,Doctorate,456,10,3,3,Senior software Engineer,4,Senior Ruby Developer,4,Student Intern Co-op,1,NA,NA,NA,NA,NA,NA,187675,1,4806.354163
109,Danyell Feil,7/10/79,38,Female,Asian,ID,USA,Undergraduate,323,16,5,4,Senior Software Development Engineer,4,HR Analyst,3,Team Lead,3,Online Marketing Analyst,3,NA,NA,NA,NA,197715,1,5438.769184
110,Lacy Padberg,8/12/67,50,Male,Hispanic,MS,USA,Undergraduate,401,28,1,6,Sr. Product Manager,4,"Product Specialist, Sr",4,Analyst (Technology),3,UI team lead,3,Devops team lead,3,Database Analyst,3,185139,0,4133.46458
111,Almeta Tillman,6/9/89,28,Male,Asian,NV,USA,Graduate,463,4,1,1,Sr. Software Engineer II,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191578,1,7381.18675
112,Otis Corkery,10/9/83,34,Male,Native American,IA,USA,Undergraduate,376,12,4,4,Senior Programmer,4,System Analyst III,3,Business systems analyst,3,Data Analyst,3,NA,NA,NA,NA,197724,0,6078.624382
113,Dwain Kuhlman,3/9/77,40,Female,Asian,NE,USA,Undergraduate,442,18,4,5,Senior iOS Engineer,4,Sr Consultant (software  engineer),4,Software Engineer / Team Lead,3,Development Team Lead,3,Dev Team leader,3,NA,NA,187058,0,5166.830725
114,Felix Franecki,4/11/78,39,Female,Asian,TN,USA,Doctorate,317,6,3,1,Sr. Ops Analyst,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188062,1,5299.313564
115,Agustin Waters,4/16/89,28,Female,Native American,TX,USA,Undergraduate,474,6,3,2,Senior IT Analyst,4,Software Engineer / Team Lead,3,NA,NA,NA,NA,NA,NA,NA,NA,180218,0,7381.18675
116,Jacki Goyette,5/29/60,57,Female,Native American,WY,USA,Graduate,478,33,5,6,Senior Manager IT,4,Senior software engineer,4,Software Engineer Intern,1,Software Engineer Intern,1,R&D Intern,1,Summer Intern,1,188890,1,3625.846123
117,Lamont Gusikowski,7/4/67,50,Female,Hispanic,OK,USA,Doctorate,432,17,5,3,Senior Software Development Engineer,4,Senior PHP Developer,4,Intern,1,NA,NA,NA,NA,NA,NA,582868,1,4133.46458
118,Alane Mitchell,10/25/64,53,Female,Native American,IA,USA,Undergraduate,360,31,8,5,Vice President,5,Development Team Lead,3,Software Business Operations Analyst,3,Web analyst,3,Advisory Engineer,3,NA,NA,183263,0,3899.494887
119,Gary Smitham,5/20/92,25,Female,Hispanic,KY,USA,Associate,405,5,3,3,Application Analyst,3,IT Analyst I,3,Business Analyst,3,NA,NA,NA,NA,NA,NA,51067,0,8266.92916
120,Tinisha Prosacco,3/18/72,45,Female,Hispanic,NJ,USA,Graduate,486,21,1,4,Director of Technology,5,Senior .Net Developer,4,Software Engineer Intern,1,Student Intern Co-op,1,NA,NA,NA,NA,204590,0,4592.738422
121,Kristina Wolff,3/25/55,62,Female,African American,MI,USA,Graduate,389,38,2,5,IT Director,5,Sr software architect,4,Web Development Intern,1,Software Engineering Intern,1,Web Development Intern,1,NA,NA,191449,0,3333.439177
122,Tia Zemlak,9/15/56,61,Male,African American,DE,USA,Graduate,458,37,8,6,Senior Data Engineer,4,Sr Staff Program Mgr,4,Software Engineer Intern,1,Data Science Intern,1,Product Management Intern,1,Developer Intern,1,199722,1,3388.085721
123,Doria Jones,12/24/79,37,Male,Asian,WY,USA,Undergraduate,431,15,4,3,Senior PM,4,Senior Verification Engineer,4,Programmer Analyst,3,NA,NA,NA,NA,NA,NA,197656,0,5585.762946
